currency,instrument,fx_business_date,london_date,hour,price_taker,market_maker,buy_ccy,sell_ccy,buy_volume_matched,sell_volume_matched,buy_trade_count_matched,sell_trade_count_matched,buy_volume_total,sell_volume_total,buy_trade_count_total,sell_trade_count_total
EURAUD,SPT,2018-01-02,2018-01-01,23,Corporate,Bank,EUR,AUD,0.0,0.0,0,0,0.0,0.0,0,0
EURAUD,SPT,2018-01-02,2018-01-01,23,Fund,Bank,EUR,AUD,0.0,0.0,0,0,,0.0,,0
EURAUD,SPT,2018-01-02,2018-01-01,23,Non-Bank Financial,Bank,EUR,AUD,,0.0,,0,,0.0,,0
EURCAD,SPT,2018-01-02,2018-01-01,23,BuySide,SellSide,EUR,CAD,,,,,,,,
EURCAD,SPT,2018-01-02,2018-01-01,23,Corporate,Bank,EUR,CAD,0.0,0.0,0,0,0.0,0.0,0,0
EURCAD,SPT,2018-01-02,2018-01-01,23,Fund,Bank,EUR,CAD,0.0,0.0,0,0,0.0,0.0,0,0
EURCAD,SPT,2018-01-02,2018-01-01,23,Non-Bank Financial,Bank,EUR,CAD,0.0,0.0,0,0,0.0,0.0,0,0
EURCHF,SPT,2018-01-02,2018-01-01,23,BuySide,SellSide,EUR,CHF,60300.0,672200.0,3,2,190300.0,672200.0,5,2
EURCHF,SPT,2018-01-02,2018-01-01,23,Corporate,Bank,EUR,CHF,0.0,0.0,0,0,0.0,0.0,0,0
EURCHF,SPT,2018-01-02,2018-01-01,23,Fund,Bank,EUR,CHF,0.0,0.0,0,0,0.0,0.0,0,0
EURCHF,SPT,2018-01-02,2018-01-01,23,Non-Bank Financial,Bank,EUR,CHF,0.0,,0,,0.0,,0,
EURDKK,SPT,2018-01-02,2018-01-01,23,BuySide,SellSide,EUR,DKK,0.0,0.0,0,0,0.0,0.0,0,0
EURDKK,SPT,2018-01-02,2018-01-01,23,Corporate,Bank,EUR,DKK,0.0,0.0,0,0,0.0,0.0,0,0
EURDKK,SPT,2018-01-02,2018-01-01,23,Fund,Bank,EUR,DKK,0.0,0.0,0,0,0.0,0.0,0,0
EURDKK,SPT,2018-01-02,2018-01-01,23,Non-Bank Financial,Bank,EUR,DKK,0.0,0.0,0,0,0.0,0.0,0,0
EURGBP,SPT,2018-01-02,2018-01-01,23,BuySide,SellSide,EUR,GBP,1482100.0,24449300.0,4,30,1482100.0,25449300.0,4,31
EURGBP,SPT,2018-01-02,2018-01-01,23,Corporate,Bank,EUR,GBP,0.0,0.0,0,0,0.0,0.0,0,0
EURGBP,SPT,2018-01-02,2018-01-01,23,Fund,Bank,EUR,GBP,0.0,0.0,0,0,0.0,0.0,0,0
EURGBP,SPT,2018-01-02,2018-01-01,23,Non-Bank Financial,Bank,EUR,GBP,0.0,,0,,0.0,,0,
EURHUF,SPT,2018-01-02,2018-01-01,23,BuySide,SellSide,EUR,HUF,0.0,0.0,0,0,0.0,0.0,0,0
EURHUF,SPT,2018-01-02,2018-01-01,23,Corporate,Bank,EUR,HUF,0.0,0.0,0,0,0.0,0.0,0,0
EURHUF,SPT,2018-01-02,2018-01-01,23,Fund,Bank,EUR,HUF,0.0,0.0,0,0,0.0,0.0,0,0
EURHUF,SPT,2018-01-02,2018-01-01,23,Non-Bank Financial,Bank,EUR,HUF,0.0,0.0,0,0,0.0,0.0,0,0
EURJPY,SPT,2018-01-02,2018-01-01,23,BuySide,SellSide,EUR,JPY,1715000.0,3554660.0,4,16,14725000.0,10554660.0,10,23
EURJPY,SPT,2018-01-02,2018-01-01,23,Corporate,Bank,EUR,JPY,0.0,0.0,0,0,0.0,0.0,0,0
EURJPY,SPT,2018-01-02,2018-01-01,23,Fund,Bank,EUR,JPY,0.0,0.0,0,0,0.0,0.0,0,0
EURJPY,SPT,2018-01-02,2018-01-01,23,Non-Bank Financial,Bank,EUR,JPY,0.0,0.0,0,0,12000000.0,0.0,4,0
EURNOK,SPT,2018-01-02,2018-01-01,23,BuySide,SellSide,EUR,NOK,0.0,0.0,0,0,0.0,,0,
EURNOK,SPT,2018-01-02,2018-01-01,23,Corporate,Bank,EUR,NOK,0.0,0.0,0,0,0.0,0.0,0,0
EURNOK,SPT,2018-01-02,2018-01-01,23,Fund,Bank,EUR,NOK,0.0,0.0,0,0,0.0,0.0,0,0
EURNOK,SPT,2018-01-02,2018-01-01,23,Non-Bank Financial,Bank,EUR,NOK,0.0,0.0,0,0,0.0,0.0,0,0
EURSEK,SPT,2018-01-02,2018-01-01,23,BuySide,SellSide,EUR,SEK,0.0,,0,,0.0,,0,
EURSEK,SPT,2018-01-02,2018-01-01,23,Corporate,Bank,EUR,SEK,0.0,0.0,0,0,0.0,0.0,0,0
EURSEK,SPT,2018-01-02,2018-01-01,23,Fund,Bank,EUR,SEK,0.0,0.0,0,0,0.0,0.0,0,0
EURSEK,SPT,2018-01-02,2018-01-01,23,Non-Bank Financial,Bank,EUR,SEK,0.0,0.0,0,0,0.0,0.0,0,0
EURUSD,SPT,2018-01-02,2018-01-01,23,BuySide,SellSide,EUR,USD,37518999.0,52366236.0,45,50,89588999.0,64837045.48,75,64
EURUSD,SPT,2018-01-02,2018-01-01,23,Corporate,Bank,EUR,USD,0.0,0.0,0,0,0.0,0.0,0,0
EURUSD,SPT,2018-01-02,2018-01-01,23,Fund,Bank,EUR,USD,0.0,0.0,0,0,0.0,0.0,0,0
EURUSD,SPT,2018-01-02,2018-01-01,23,Non-Bank Financial,Bank,EUR,USD,1754999.0,18066344.0,2,5,41064999.0,23377244.0,17,9
GBPAUD,SPT,2018-01-02,2018-01-01,23,BuySide,SellSide,GBP,AUD,2184311.5,2264000.0,6,4,2184311.5,2264000.0,6,4
GBPAUD,SPT,2018-01-02,2018-01-01,23,Corporate,Bank,GBP,AUD,0.0,0.0,0,0,0.0,0.0,0,0
GBPAUD,SPT,2018-01-02,2018-01-01,23,Fund,Bank,GBP,AUD,0.0,0.0,0,0,,0.0,,0
GBPAUD,SPT,2018-01-02,2018-01-01,23,Non-Bank Financial,Bank,GBP,AUD,0.0,0.0,0,0,0.0,0.0,0,0
GBPCAD,SPT,2018-01-02,2018-01-01,23,BuySide,SellSide,GBP,CAD,,82000.0,,2,351000.0,318000.0,2,3
GBPCAD,SPT,2018-01-02,2018-01-01,23,Corporate,Bank,GBP,CAD,0.0,0.0,0,0,0.0,0.0,0,0
GBPCAD,SPT,2018-01-02,2018-01-01,23,Fund,Bank,GBP,CAD,0.0,0.0,0,0,0.0,0.0,0,0
GBPCAD,SPT,2018-01-02,2018-01-01,23,Non-Bank Financial,Bank,GBP,CAD,0.0,0.0,0,0,,,,
GBPCHF,SPT,2018-01-02,2018-01-01,23,BuySide,SellSide,GBP,CHF,562000.0,,5,,562000.0,,5,
GBPCHF,SPT,2018-01-02,2018-01-01,23,Corporate,Bank,GBP,CHF,0.0,0.0,0,0,0.0,0.0,0,0
